"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-02",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-03",,,"0.70",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-04",,,"0.17",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-05",,,"0.05",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-07","    2","0.29",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-08",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-09",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-10",,,"0.26",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-12",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-14",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-17",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-18",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-19",,,"0.51",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-20",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-21",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-22",,,"0.12",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-23",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-24",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-25",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-26",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-27",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-28",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-29",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-30",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-01",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-02",,,"0.41",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-03",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-04",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-05",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-06",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-07",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-08",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-09",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-10",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-12",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-14",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-17",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-18",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-07-19",,,"0.00","0.0",,,,
