STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",3/27/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",3/28/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",3/29/23,NA,NA,0.07,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/1/23,3,0.07,NA,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/2/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/3/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/4/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/6/23,2,0.45,NA,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/7/23,NA,NA,0.07,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/8/23,NA,NA,0.06,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/9/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/10/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/12/23,2,0.04,NA,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/13/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/15/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/16/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/17/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/18/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/19/23,NA,NA,0.04,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/21/23,NA,NA,0.46,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/22/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/23/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/25/23,2,0.02,NA,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/27/23,2,0.04,NA,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/29/23,NA,NA,0.42,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",4/30/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",5/1/23,NA,NA,0,0,NA,NA,NA,NA
