Tag_ID,Tiller_23,Inf_23,Spikelet_A,Spikelet_B,Spikelet_C,tiller_Herb
2310,11,2,NA,NA,NA,3
2311,3,0,NA,NA,NA,3
2312,1,1,NA,NA,NA,1
2313,4,2,NA,NA,NA,2
2314,4,0,NA,NA,NA,2
2315,4,1,NA,NA,NA,3
2316,4,0,NA,NA,NA,2
2317,2,0,NA,NA,NA,2
2318,1,0,NA,NA,NA,0
2319,6,0,NA,NA,NA,0
2320,2,1,24,NA,NA,3
2321,1,0,NA,NA,NA,1
2322,2,0,NA,NA,NA,2
2323,2,0,NA,NA,NA,1
2324,1,0,NA,NA,NA,0
2325,3,0,NA,NA,NA,1
2326,3,3,23,24,9,1
2327,3,0,NA,NA,NA,0
2328,3,2,19,19,NA,1
2329,2,0,NA,NA,NA,2
2330,2,0,NA,NA,NA,2
2331,3,0,NA,NA,NA,3
2332,3,0,NA,NA,NA,3
2333,3,0,NA,NA,NA,3
2334,2,1,NA,NA,NA,2
2335,1,0,NA,NA,NA,1
2336,1,1,9,NA,NA,1
2337,2,0,NA,NA,NA,2
2338,4,2,13,9,NA,3
2339,3,0,NA,NA,NA,3
2340,4,0,NA,NA,NA,4
2341,2,1,NA,NA,NA,2
2342,4,0,NA,NA,NA,4
2343,2,1,26,NA,NA,0
2344,3,1,15,NA,NA,2
2345,3,2,11,17,NA,1
2346,2,0,NA,NA,NA,2
2347,1,1,25,NA,NA,1
2348,2,1,20,NA,NA,0
2349,2,0,NA,NA,NA,0
2350,2,1,18,NA,NA,0
2351,1,0,NA,NA,NA,0
2352,4,0,NA,NA,NA,0
2353,1,0,NA,NA,NA,0
2354,3,0,NA,NA,NA,0
2355,2,1,14,NA,NA,0
2356,3,3,12,14,14,0
2357,3,0,NA,NA,NA,0
2358,3,1,14,NA,NA,0
2359,4,0,NA,NA,NA,0
2360,6,3,NA,NA,NA,0
2361,3,0,NA,NA,NA,0
2362,2,1,20,NA,NA,0
2363,1,0,NA,NA,NA,0
2364,1,1,16,NA,NA,0
2365,2,2,17,17,NA,2
2366,2,0,NA,NA,NA,0
2367,2,0,NA,NA,NA,0
2368,4,0,NA,NA,NA,4
2369,5,3,NA,NA,NA,3
2370,5,5,NA,NA,NA,1
2371,1,0,NA,NA,NA,0
2401,4,0,NA,NA,NA,4
2402,4,0,NA,NA,NA,2
2403,3,1,15,NA,NA,3
2404,3,3,27,17,13,3
2405,3,2,NA,NA,NA,2
2406,6,2,NA,NA,NA,3
2407,6,0,NA,NA,NA,6
2408,6,4,NA,NA,NA,6
2409,8,0,NA,NA,NA,8
2410,3,1,NA,NA,NA,3
2411,3,1,15,NA,NA,2
2412,4,0,NA,NA,NA,3
2413,2,0,NA,NA,NA,2
2414,7,1,NA,NA,NA,7
2415,12,0,NA,NA,NA,8
2416,20,0,NA,NA,NA,6
2417,19,0,NA,NA,NA,11
2418,5,3,15,NA,NA,5
2419,19,3,15,15,11,12
2420,26,0,NA,NA,NA,15
2421,7,3,NA,NA,NA,7
2422,30,0,NA,NA,NA,17
2423,23,0,NA,NA,NA,7
2424,7,4,23,19,17,2
2425,6,2,NA,NA,NA,6
2426,10,3,NA,NA,NA,10
2427,5,3,NA,NA,NA,4
2428,10,0,NA,NA,NA,6
2429,2,2,NA,NA,NA,2
2430,28,0,NA,NA,NA,20
2431,29,0,NA,NA,NA,8
2432,9,2,NA,NA,NA,9
2433,3,2,23,35,NA,1
2434,45,0,NA,NA,NA,27
2435,5,2,NA,NA,NA,5
2436,18,1,NA,NA,NA,6
2437,11,2,23,NA,NA,5
2438,29,0,NA,NA,NA,29
2439,49,0,NA,NA,NA,27
2440,6,6,17,23,19,6
2441,15,6,NA,NA,NA,9
2442,16,9,NA,NA,NA,7
2443,9,7,NA,NA,NA,8
2444,2,2,NA,NA,NA,2
2445,10,1,NA,NA,NA,10
2446,7,0,NA,NA,NA,7
2447,7,0,NA,NA,NA,7
2448,28,0,NA,NA,NA,14
2449,5,1,NA,NA,NA,5
2450,11,0,NA,NA,NA,9
2451,5,2,NA,NA,NA,4
2452,9,2,NA,NA,NA,9
2453,15,0,NA,NA,NA,15
2454,5,1,NA,NA,NA,5
